,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10
chance,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0
●…lves,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reason's,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garb,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sloth,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
peace,0.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,12.0
war●…,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bound,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Lord,0.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0
Grace,0.0,2.0,2.0,2.0,0.0,1.0,4.0,0.0,1.0,6.0
promise,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Subjection,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
eyes,0.0,5.0,4.0,4.0,2.0,3.0,4.0,0.0,1.0,13.0
presence,0.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0
Hymns,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Godhead,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
Halleluiah's,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
souran,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Odours,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
Flowers,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
worship,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
vassalage,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liberty,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,4.0
yoke,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
greatness,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
endurance,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clouds,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sire,0.0,3.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,6.0
Majesty,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thunders,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darkness,0.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,2.0,3.0
desert,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
skill,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
art,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Magnificence,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torments,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Elements,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
safety,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
evils,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
murmur,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Assembly,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rocks,0.0,4.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0
winds,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0
cadence,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bark,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinnace,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bay,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
applause,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Sentence,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
Sword,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
Michael,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,15.0
desire,0.0,1.0,2.0,3.0,2.0,1.0,5.0,4.0,2.0,1.0
policy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
emulation,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aspect,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rising,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Deliberation,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
counsel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Monarchies,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audience,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0
Summers',0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noon-tide,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offspring,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0
Titles,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
stile,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
vote,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dungeon,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jurisdiction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
League,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
bondage,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curb,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingdom,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
Iron,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
sceptre,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
terms,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
custody,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stripes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hostility,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reluctance,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conquest,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
expedition,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
walls,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
assault,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
Siege,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ambush,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
enterprise,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excellence,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
Oath,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
creatures,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
weakness,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
suttlety,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arbitrator,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
border,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
defence,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
onset,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Creation,0.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0
habitants,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Party,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confusion,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
disturbance,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Originals,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hatching,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Empires,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beelzebub,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S●…tan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Author,0.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0
ill,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
root,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0
creator,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
glory,0.0,4.0,5.0,2.0,2.0,10.0,4.0,2.0,4.0,9.0
States,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assent,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speech,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
debate,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Synod,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Neerer,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
confines,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excursion,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Zone,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
brightening,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beam,0.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
●…earr,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balm,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
search,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
evasion,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senteries,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stations,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circumspection,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Choice,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suffrage,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expectation,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
suspense,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dismay,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
voyage,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Progeny,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demur●…,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prison,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
gates,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Adamant,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
egress,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pass,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lo●…s,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sov'ranty,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splendour,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
difficulty,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Royalties,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazard,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
sits,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
powers,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Terror,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
respite,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
coasts,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Deliverance,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reply,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
opinion,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rivals,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventure,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
reverence,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
zeal,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0
consultations,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mountain,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tops,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0
Element,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
landscape,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
shower,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
farewell,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fields,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
birds,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
notes,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
herds,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
hill,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
rings,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devil,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
concord,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Creatures,0.0,2.0,0.0,6.0,1.0,0.0,10.0,5.0,1.0,1.0
wars,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Midst,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paramount,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antagonist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Emperor,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pomp,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
imblazonrie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horrent,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arms.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Session,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mouths,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Harald's,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
inclination,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Truce,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hours,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
return,0.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,1.0
Games,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Steeds,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
Goal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brigads,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city's,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clouds,0.0,3.0,0.0,3.0,3.0,1.0,4.0,0.0,2.0,4.0
Van,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Pri●…,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spears,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
feats,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
welkin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hills,0.0,1.0,1.0,0.0,2.0,7.0,4.0,0.0,0.0,5.0
whirlwind,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
uproar,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Alcides,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oealia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roots,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harp,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
Force,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
song,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
harmony,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
ravishment,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
discourse,0.0,1.0,0.0,0.0,4.0,0.0,3.0,2.0,1.0,0.0
Eloquence,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Soul,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0
Sense,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Foreknowledge,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mazes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
happiness,0.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,0.0
Passion,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
apathy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wisdom,0.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0
philosophy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sorcery,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pain,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
while,0.0,4.0,2.0,2.0,5.0,6.0,3.0,3.0,3.0,2.0
anguish,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
breast,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
patience,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
steel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Squadrons,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
Bands,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
habitation,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
March,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Styx,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acheron,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocytus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lamentation,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phlegeton,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torrent,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Farr,0.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0
Lethe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
River,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0
Oblivion,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rolls,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labyrinth,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
grief,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
pleasure,0.0,1.0,1.0,0.0,0.0,2.0,4.0,6.0,2.0,3.0
Continent,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
storms,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whirlwind,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heap,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
snow,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ice,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bog,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damiata,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mount,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Casius,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frore,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effect,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
harpy-footed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furies,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
revolutions,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beds,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ice,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
warmth,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
round,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Periods,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ferry,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sound,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drop,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forgetfulness,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brink,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Medusa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ford,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
wight,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lip,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tantalus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
veil,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Alpe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caves,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Lakes,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Fens,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bogs,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dens,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Universe,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
curse,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
life,0.0,1.0,5.0,3.0,4.0,2.0,2.0,5.0,7.0,13.0
Gorgon's,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydra's,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chimera's,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adversary,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
coast,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fleet,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Be●…gala,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isles,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tidore,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merchants,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drugs,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Po●…e,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brass,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Woman,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0
waste,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0
Serpent,0.0,1.0,0.0,1.0,0.0,0.0,3.0,16.0,12.0,4.0
sting,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
